#,Info request,Priority,Status,EY remarks,Management remarks
2,"Monthly or quarterly management accounts (MIS) prepared by the management including detailed variance analysis, KPIs as tracked by the Management, operational statics of the Group for the historical period. Also provide us reconciliation between the MIS and consolidated financial statements.",High,,,
3,"(a) Company's legal entity structure as at the latest balance sheet date
(b) Shareholding pattern of the Company indicating names of the shareholders and their respective holding (on reported and fully dilutive basis) as at latest balance sheet date including copies of all shareholders agreements entered till date, if any",Low,,,
4,"(a) Describe the accounting polices including details of changes in accounting policies over the historical period.
(b) Minutes of meetings of the board of directors, audit committee and general shareholders meetings for all entities.
(c) Internal audit reports / presentations.
(d) Audit committee presentation made by auditors, management letter and management representation letter issued by auditors",Medium,,,
5,"Provide details of specific restructuring activities undertaken along with financial impact including description of initiative, total cost in historical periods, and planned waterfall of cost savings on quarterly basis. Also provide underlying backups including employee level listing of roles rationalized, reduction in spends and rationale for the same.",High,,,
B,Profit and loss,,,,
I,,,,,
6,"Details along with backup and transaction master of monthly revenue, ARR/MRR, marketing spends, take rate %, gross margins and KPIs in the historical period by: 
(a) By customer and type (advertiser, agencies or publishers)
(b) By billing type (minimum fee or % of take rate)
(c) By customer geo
(d) By industry verticals (Manufacturing, healthcare, life science and insurance, technology)
(e) Billing type (T&M, Fixed)
(f) Type of revenue (fixed vs variable)
",High,,,
7,"Provide copies of all SOWs for top 10 customers that are relevant for the revenue earned during the historical period. Also, provide summary of key commercial terms of agreements.
",High,,,
8,"(a) Please provide by customer details of volume discount / rebates / cash discount agreed with customers including details of cost recorded during the historical period
(b) Provide listing of credit notes issued along with reasons including reversals, rebilling, discounts etc. for the historical period.
(c) Provide the historical rate card and commercials by customer along with discounts/incentives offered, historical price revisions, escalations etc.",High,,,
II,Employee costs,,,,
